v0,theta_mrad,V_mean,V_std,N0_mean,N0_std,a_min,a_min_err
50118.72336272725,0.0,0.9999999999999998,1.2412670766236366e-16,149.6,74.4902678207026,32685.43994095357,8137.523980745726
50118.72336272725,0.2,0.30540652085384784,0.45038806898782796,40.0,59.53570357357004,206972.1115324968,341887.4325625676
50118.72336272725,0.5,0.8000000000199998,0.4472135954552365,148.6,120.38604570298004,40994.04182971908,28300.133312951504
50118.72336272725,0.8,0.9999999999999998,1.2412670766236366e-16,200.8,156.7025845351633,28212.285972830065,11008.312070686266
50118.72336272725,1.0,0.9794607632206477,0.045927129644595395,295.2,147.4981355814371,23756.087270705804,6038.555104159969
50118.72336272725,1.25,0.9534015776836176,0.10419723994367262,494.2,76.00460512363709,18862.223860959297,2520.587976917798
50118.72336272725,1.4,0.9999999999999998,1.2412670766236366e-16,443.2,200.52481143240104,18989.79409690789,4295.944134050742
50118.72336272725,1.5,0.8849924767104698,0.19888272649322378,280.2,144.70383547093698,26986.495324826097,9237.815467992545
50118.72336272725,1.6,0.9220794202328513,0.08697394882860088,535.0,95.82536198731523,18744.545367819537,2438.03873262893
50118.72336272725,1.7,0.9999999999999998,1.2412670766236366e-16,496.6,286.1752959289114,17939.766002979,5169.0675038239415
50118.72336272725,1.8,0.9619586778330094,0.08506298231936041,455.2,159.8224014335913,19478.81747959479,3828.8518129657555
50118.72336272725,1.9,0.9704492210152263,0.02882080655336941,574.2,224.05401134547893,17191.57719937122,3392.730821872184
50118.72336272725,2.0,0.9890666316218434,0.02112564884271757,535.4,245.77794856333227,17468.491303336104,4026.8205153111276
50118.72336272725,2.1,0.9687522746573771,0.04942604905110261,709.2,181.03369852046882,15496.122215103424,2129.974822475562
50118.72336272725,2.25,0.9022836114621722,0.13293492793725517,577.0,194.20736340314184,18445.445796765292,4125.6959009402335
50118.72336272725,2.5,0.9999999999999998,1.2412670766236366e-16,938.2,212.7597236320822,13051.860319446274,1479.9137680931194
50118.72336272725,3.0,0.9498462555660007,0.0712485340995568,964.6,226.07587221992534,13551.681555783245,1885.5462224391677
50118.72336272725,4.0,0.9988022933957573,0.0026781533841867653,1340.2,164.16820642255917,10933.41401842653,670.2873536482199
50118.72336272725,5.5,0.9999999999999998,1.2412670766236366e-16,1702.6,252.13944554551554,9688.662263261327,717.4010134900948
50118.72336272725,8.0,0.9999999999999998,1.2412670766236366e-16,2305.0,436.9931349575185,8326.925263856265,789.3295391777682
50118.72336272725,10.0,0.9930366624103633,0.01557049620070719,2909.2,343.0462068001919,7463.938622640905,455.36137163996574
50118.72336272725,12.0,0.9898877668864247,0.022611640646278717,3628.2,398.54322224822744,6704.84225898322,398.8294234081613
50118.72336272725,14.0,0.9999999999999998,3.510833468576701e-16,4288.2,749.7027410914276,6104.957084935809,533.6624995128384
50118.72336272725,17.0,0.9999999999999998,1.2412670766236366e-16,4838.8,752.9944886916504,5747.133634831843,447.17284789646084
50118.72336272725,20.0,0.9999999999999993,1.2911564428300668e-15,5911.8,661.6684970587613,5199.4842266856385,290.9718625251042
54555.947811685255,0.0,0.9999999999999998,1.2412670766236366e-16,326.4,121.64209797598856,26219.793508790317,4885.770053471907
54555.947811685255,0.2,0.5398847889739111,0.507891702912663,66.4,81.24223039774326,107676.07366238382,120830.03728597562
