v0,theta_mrad,V_mean,V_std,N0_mean,N0_std,a_min,a_min_err
50118.72336272725,0.0,0.5032665173082763,0.033015255305853024,693.5,22.35695268441863,494.7009103537417,33.4186234604269
50118.72336272725,0.2,0.508677619367602,0.026788390481365335,1379.0,38.0058475033046,347.0876943764485,18.894025713352566
50118.72336272725,0.5,0.50193229941869,0.013824445195727418,3478.8,44.738251095802916,221.46449248870007,6.263699770633335
50118.72336272725,0.8,0.4820774601983005,0.01840074070585768,5607.8,33.52544638860988,181.6146571825934,6.9533974437909105
50118.72336272725,1.0,0.4609737448678436,0.011017551157795019,7021.9,55.47461882098275,169.73072606640457,4.1116976751319845
50118.72336272725,1.25,0.4410518734730767,0.011388947092515998,8713.3,68.05234913081415,159.25129585500446,4.158983309234639
50118.72336272725,1.4,0.42974983859937604,0.012673126779664826,9813.5,79.90306627407988,154.00552232522168,4.584625388477728
50118.72336272725,1.5,0.4165535031215276,0.00781446437046358,10479.1,104.64060185012104,153.7556898549216,2.984836137173022
50118.72336272725,1.6,0.4115727473816877,0.010572681307742162,11234.1,140.7436203409116,150.2962784933082,3.974015635578868
50118.72336272725,1.7,0.39472523327532005,0.016068392110236425,11904.8,67.62773921336652,152.2327307359696,6.212124823487199
50118.72336272725,1.8,0.3946745742775418,0.008637507088356334,12578.3,151.44126107357783,148.12005210745568,3.3620279934885984
50118.72336272725,1.9,0.3806380269419544,0.01505806134748888,13267.5,96.69913247916044,149.53995927227146,5.94085622496903
50118.72336272725,2.0,0.37042284413553633,0.011213200559111444,13929.6,124.88857255792283,149.9674113463605,4.589225096768328
50118.72336272725,2.1,0.36555407445789906,0.010393471871941538,14727.4,149.13021901084375,147.79144981209876,4.26812589059378
50118.72336272725,2.25,0.34734871698811454,0.008035858764615406,15790.5,86.04036520403923,150.21051656945335,3.499110703650886
50118.72336272725,2.5,0.31391055628346326,0.009273612691602847,17466.8,118.16259983598871,158.0343103005202,4.699185837742745
50118.72336272725,3.0,0.27169127878121085,0.009176090843609238,20902.7,154.59269064221633,166.91181820670934,5.670962691678601
50118.72336272725,4.0,0.20439299567437486,0.009337616205819669,27956.3,167.18987874735586,191.8483748534067,8.783273995983995
50118.72336272725,5.5,0.13918726066668413,0.007858361172436339,38524.6,184.28311552246632,239.9912584218752,13.561797824764513
50118.72336272725,8.0,0.07302683659675546,0.006355142001045555,56118.7,299.1142665344541,378.9899474030447,32.99696592291289
54555.947811685255,0.0,0.48088267190026085,0.05641527001100051,1075.2,19.222671799495277,492.6794345929019,57.966767056798325
